word,pleasantness_male,pleasantness_female,pleasantness,imagery_male,imagery_female,imagery,frequency_male,frequency_female,frequency
abuse,1.62,1.44,1.53,2.93,3.6,3.31,2.69,3.26,3
accident,1.54,1.47,1.51,4,4.14,4.08,3.45,3.47,3.46
achievement,4.51,4.63,4.57,2.58,3.34,3.02,3.1,3.65,3.4
adorable,4.33,4.47,4.4,3.33,3.63,3.5,2.66,3.76,3.25
affectionate,4.49,4.64,4.56,3.08,3.74,3.46,3,3.79,3.43
afraid,2.17,1.92,2.05,2.96,3.58,3.3,3.34,4.15,3.78
agility,4.28,3.67,3.99,3.22,2.97,3.08,2.38,2.21,2.29
agony,1.7,1.42,1.57,3.22,3.4,3.32,2.1,2.32,2.22
ambition,4.08,4.5,4.28,2.59,2.8,2.71,3,3.74,3.4
ambulance,1.95,1.94,1.95,4.67,4.69,4.68,2.86,2.53,2.68
angel,4.41,4.61,4.51,4.26,4.54,4.42,2.48,2.65,2.57
anger,1.82,1.58,1.71,3.41,3.57,3.5,3.28,4.06,3.7
annoy,1.82,1.69,1.76,2.59,2.77,2.69,2.59,3.26,2.95
anxiety,2.36,2.19,2.28,2.62,2.94,2.8,2.86,3.47,3.19
army,2.49,2.2,2.35,4.27,4.37,4.33,3.41,2.82,3.1
assassin,1.57,1.54,1.56,3.67,3.49,3.56,2.38,2.29,2.33
assault,1.67,1.5,1.59,3.19,3.54,3.39,2.76,2.79,2.78
autumn,4.18,4.47,4.32,4.41,4.68,4.56,2.25,2.56,2.42
baby,4.41,4.5,4.45,4.74,4.82,4.79,3.34,3.65,3.51
bankrupt,1.75,1.5,1.63,2.85,3.09,2.98,2.48,2.65,2.57
bastard,1.63,1.36,1.5,3.04,3.32,3.2,3.07,2.91,2.98
beach,4.5,4.53,4.51,4.81,4.82,4.82,3.57,3.41,3.48
beauty,4.58,4.33,4.46,3.54,4.09,3.85,3.48,3.64,3.56
beggar,1.9,1.75,1.83,4,4.29,4.16,1.71,1.97,1.85
betray,1.72,1.42,1.57,2.35,2.83,2.62,2.24,2.41,2.33
bird,4.2,3.83,4.03,4.67,4.82,4.75,3.69,3.44,3.56
birthday,4.26,4.58,4.41,3.81,4.32,4.1,3,3.85,3.46
blackmail,1.58,1.5,1.54,2.96,2.94,2.95,2.24,2.32,2.29
bless,4.13,4.44,4.28,3.11,2.91,3,2.59,2.53,2.56
blind,1.57,1.89,1.72,3.48,3.83,3.68,2.34,2.53,2.44
blossom,4.34,4.5,4.42,3.65,4.2,3.97,2.22,2.29,2.26
blubber,1.82,1.69,1.76,3.89,4.06,3.98,1.86,2.47,2.19
bomb,1.65,1.36,1.51,4.26,4.09,4.16,3.24,2.79,3
book,3.69,3.69,3.69,4.52,4.69,4.61,4.62,4.65,4.63
bowl,3.33,3.25,3.29,4.15,4.57,4.39,3.39,3.79,3.61
boy,3.82,3.94,3.88,4.48,4.74,4.63,4.14,4.45,4.31
breast,4.21,3.57,3.91,4.78,4.66,4.71,3.79,3.18,3.46
brother,4.35,4.08,4.22,4.12,4.51,4.34,3.89,3.88,3.89
brutal,1.74,1.33,1.54,3.07,3.14,3.11,2.24,2.12,2.17
bunny,4.35,4.31,4.33,4.44,4.83,4.66,2.14,2.79,2.49
burial,1.47,1.37,1.42,3.85,4.14,4.02,1.93,1.68,1.79
butter,3.63,3.39,3.51,4.56,4.86,4.73,3.34,3.56,3.46
butterfly,4.41,4.56,4.48,4.67,4.66,4.66,2.34,1.94,2.13
cake,4.18,4.36,4.27,4.56,4.91,4.76,3.38,3.32,3.35
cancer,1.47,1.39,1.43,3.15,3.2,3.18,3,3.18,3.1
candy,4.16,4.25,4.2,4.54,4.74,4.66,3.38,3.88,3.65
capacity,3.47,3.03,3.27,2.65,2.69,2.67,2.66,2.53,2.59
caress,4.47,4.64,4.55,3.67,3.97,3.84,2.28,3.09,2.71
cemetery,2,1.31,1.67,4.78,4.74,4.75,2.38,1.91,2.13
chair,3.32,3.19,3.26,4.37,4.77,4.6,4.21,4.18,4.19
champion,4.36,4.47,4.41,3.48,4,3.77,2.86,2.71,2.78
charm,4.18,4.19,4.19,2.89,3.6,3.29,2.59,2.94,2.78
cheer,4.34,4.69,4.51,3.33,3.54,3.45,2.9,3.35,3.14
child,4.23,4.5,4.36,4.58,4.69,4.64,3.32,3.88,3.62
church,4.03,4.36,4.19,4.7,4.85,4.79,3.17,3.12,3.14
circus,3.79,4.28,4.03,4.35,4.76,4.58,2,2.06,2.03
city,3.42,3.56,3.49,4.58,4.56,4.57,4.07,3.91,3.98
clothing,3.95,4.31,4.12,4.26,4.91,4.62,3.9,4.06,3.98
cockroach,1.55,1.56,1.55,4.44,4.53,4.49,2.21,2.41,2.32
coffin,1.71,1.33,1.53,4.35,4.59,4.48,2.17,1.71,1.92
comedy,4.38,4.37,4.38,3.93,3.5,3.69,3.34,3.26,3.3
comparison,3.1,3.25,3.17,2.58,2.71,2.66,2.97,3.24,3.11
confident,4.44,4.22,4.33,2.74,3.23,3.02,3.24,3.59,3.43
constipation,1.63,1.47,1.55,2.93,3.2,3.08,1.83,1.91,1.87
